Test Case ID,Input Name,Input Type,Suggestion Rank,Suggestion ID,Suggestion Name,Similarity Score
1,Send email,bpmn:Task,1,io.camunda.connectors.SendGrid.v2,SendGrid Outbound Connector,0.532650351524353
1,Send email,bpmn:Task,2,io.camunda.connectors.MSFT.O365.Mail.v1,Microsoft Office 365 Mail Connector,0.3218466639518738
1,Send email,bpmn:Task,3,io.camunda.connectors.Slack.v1,Slack Outbound Connector,0.31605690717697144
1,Send email,bpmn:Task,4,io.camunda.connectors.Twilio.v1,Twilio Outbound Connector,0.3089043200016022
1,Send email,bpmn:Task,5,io.camunda.connectors.AWSSNS.v1,Amazon SNS Outbound connector,0.2916746735572815
2,Send message,bpmn:Task,1,io.camunda.connectors.Slack.v1,Slack Outbound Connector,0.4598381519317627
2,Send message,bpmn:Task,2,io.camunda.connectors.SendGrid.v2,SendGrid Outbound Connector,0.4414414167404175
2,Send message,bpmn:Task,3,io.camunda.connectors.Twilio.v1,Twilio Outbound Connector,0.42039310932159424
2,Send message,bpmn:Task,4,io.camunda.connectors.RabbitMQ.v1,RabbitMQ Outbound Connector,0.38879504799842834
2,Send message,bpmn:Task,5,io.camunda.connectors.WhatsApp.v1,WhatsApp Business Outbound Connector,0.38312792778015137
3,Setup project,bpmn:Task,1,io.camunda.connectors.Asana.v1,Asana Outbound Connector,0.22591648995876312
3,Setup project,bpmn:Task,2,io.camunda.connectors.GoogleDrive.v1,Google Drive Outbound Connector,0.1925826072692871
3,Setup project,bpmn:Task,3,io.camunda.connectors.MSTeams.v1,Microsoft Teams Outbound Connector,0.1715579628944397
3,Setup project,bpmn:Task,4,io.camunda.connectors.EasyPost.v1,Easy Post Outbound Connector,0.1474469006061554
3,Setup project,bpmn:Task,5,io.camunda.connectors.Jdbc.v1,SQL Database Connector,0.12685348093509674
4,Call REST API,bpmn:Task,1,io.camunda.connectors.HttpJson.v2,REST Outbound Connector,0.5871397256851196
4,Call REST API,bpmn:Task,2,io.camunda.connectors.Salesforce.v1,Salesforce Outbound Connector,0.46975767612457275
4,Call REST API,bpmn:Task,3,io.camunda.connectors.CamundaOperate.v1,Camunda Operate Outbound connector,0.2555238604545593
4,Call REST API,bpmn:Task,4,io.camunda.connectors.HuggingFace.v1,Hugging Face Outbound Connector,0.24903208017349243
4,Call REST API,bpmn:Task,5,io.camunda.connectors.Twilio.v1,Twilio Outbound Connector,0.24117937684059143
5,Get distance from Google Maps,bpmn:Task,1,io.camunda.connectors.GoogleMapsPlatform.v1,Google Maps Platform Outbound Connector,0.5904396772384644
5,Get distance from Google Maps,bpmn:Task,2,io.camunda.connectors.GoogleDrive.v1,Google Drive Outbound Connector,0.2037954479455948
5,Get distance from Google Maps,bpmn:Task,3,io.camunda.connectors.UIPath.v1,UiPath Outbound Connector,0.13914234936237335
5,Get distance from Google Maps,bpmn:Task,4,io.camunda.connectors.Twilio.v1,Twilio Outbound Connector,0.13755735754966736
5,Get distance from Google Maps,bpmn:Task,5,io.camunda.connectors.GraphQL.v1,GraphQL Outbound Connector,0.13490374386310577
6,Send message on Slack,bpmn:Task,1,io.camunda.connectors.Slack.v1,Slack Outbound Connector,0.7624925374984741
6,Send message on Slack,bpmn:Task,2,io.camunda.connectors.WhatsApp.v1,WhatsApp Business Outbound Connector,0.43193018436431885
6,Send message on Slack,bpmn:Task,3,io.camunda.connectors.AWSSQS.v1,Amazon SQS Outbound Connector,0.4237852990627289
6,Send message on Slack,bpmn:Task,4,io.camunda.connectors.RabbitMQ.v1,RabbitMQ Outbound Connector,0.4226027727127075
6,Send message on Slack,bpmn:Task,5,io.camunda.connectors.Twilio.v1,Twilio Outbound Connector,0.41784536838531494
7,Receive order,bpmn:StartEvent,1,io.camunda.connectors.AWSSQS.startmessage.v1,Amazon SQS Message Start Event Connector,0.31207361817359924
7,Receive order,bpmn:StartEvent,2,io.camunda.connectors.AWSSQS.StartEvent.v1,Amazon SQS Start Event Connector,0.302339106798172
7,Receive order,bpmn:StartEvent,3,io.camunda.connectors.inbound.RabbitMQ.MessageStart.v1,RabbitMQ Message Start Event Connector,0.2333853393793106
7,Receive order,bpmn:StartEvent,4,io.camunda.connectors.AWSEventBridge.MessageStart.v1,Amazon EventBridge Message Start Event Connector,0.22655248641967773
7,Receive order,bpmn:StartEvent,5,io.camunda.connectors.inbound.RabbitMQ.StartEvent.v1,RabbitMQ Start Event Connector,0.2234245389699936
8,Wait for approval,bpmn:IntermediateCatchEvent,1,io.camunda.connectors.AWSSQS.intermediate.v1,Amazon SQS Intermediate Message Catch Event connector,0.2489618957042694
8,Wait for approval,bpmn:IntermediateCatchEvent,2,io.camunda.connectors.http.Polling,HTTP Polling Intermediate Catch Event Connector,0.20433872938156128
8,Wait for approval,bpmn:IntermediateCatchEvent,3,io.camunda.connectors.webhook.WebhookConnectorIntermediate.v1,Webhook Intermediate Event Connector,0.18110908567905426
8,Wait for approval,bpmn:IntermediateCatchEvent,4,io.camunda.connectors.webhook.GithubWebhookConnectorIntermediate.v1,GitHub Webhook Intermediate Catch Event Connector,0.16070915758609772
8,Wait for approval,bpmn:IntermediateCatchEvent,5,io.camunda.connectors.AWSEventBridge.intermediate.v1,Amazon EventBridge Intermediate Catch Event Connector,0.14817458391189575
9,GitHub issue,bpmn:BoundaryEvent,1,io.camunda.connectors.webhook.GithubWebhookConnectorBoundary.v1,GitHub Webhook Boundary Event Connector,0.5262561440467834
9,GitHub issue,bpmn:BoundaryEvent,2,io.camunda.connectors.inbound.RabbitMQ.Boundary.v1,RabbitMQ Boundary Event Connector,0.11186598986387253
9,GitHub issue,bpmn:BoundaryEvent,3,io.camunda.connectors.inbound.Slack.BoundaryEvent.v1,Slack Webhook Boundary Event Connector,0.10716310143470764
9,GitHub issue,bpmn:BoundaryEvent,4,io.camunda.connectors.AWSSQS.boundary.v1,Amazon SQS Boundary Event Connector,0.1036684662103653
9,GitHub issue,bpmn:BoundaryEvent,5,io.camunda.connectors.inbound.AWSSNS.Boundary.v1,SNS HTTPS Boundary Event Connector,0.06721823662519455
10,Create Slack channel,bpmn:Task,1,io.camunda.connectors.Slack.v1,Slack Outbound Connector,0.7606656551361084
10,Create Slack channel,bpmn:Task,2,io.camunda.connectors.MSTeams.v1,Microsoft Teams Outbound Connector,0.34698519110679626
10,Create Slack channel,bpmn:Task,3,io.camunda.connectors.UIPath.v1,UiPath Outbound Connector,0.28344500064849854
10,Create Slack channel,bpmn:Task,4,io.camunda.connectors.AWSSQS.v1,Amazon SQS Outbound Connector,0.2619258761405945
10,Create Slack channel,bpmn:Task,5,io.camunda.connectors.AutomationAnywhere,Automation Anywhere Outbound Connector,0.2609960436820984
11,Email sender,bpmn:Task,1,io.camunda.connectors.SendGrid.v2,SendGrid Outbound Connector,0.39802461862564087
11,Email sender,bpmn:Task,2,io.camunda.connectors.AWSSNS.v1,Amazon SNS Outbound connector,0.2981891632080078
11,Email sender,bpmn:Task,3,io.camunda.connectors.MSFT.O365.Mail.v1,Microsoft Office 365 Mail Connector,0.28732532262802124
11,Email sender,bpmn:Task,4,io.camunda.connectors.Twilio.v1,Twilio Outbound Connector,0.28054285049438477
11,Email sender,bpmn:Task,5,io.camunda.connectors.Slack.v1,Slack Outbound Connector,0.2788638174533844
12,Order received,bpmn:StartEvent,1,io.camunda.connectors.AWSSQS.startmessage.v1,Amazon SQS Message Start Event Connector,0.3143775165081024
12,Order received,bpmn:StartEvent,2,io.camunda.connectors.AWSSQS.StartEvent.v1,Amazon SQS Start Event Connector,0.30932503938674927
12,Order received,bpmn:StartEvent,3,io.camunda.connectors.AWSEventBridge.MessageStart.v1,Amazon EventBridge Message Start Event Connector,0.22563008964061737
12,Order received,bpmn:StartEvent,4,io.camunda.connectors.inbound.RabbitMQ.MessageStart.v1,RabbitMQ Message Start Event Connector,0.22512096166610718
12,Order received,bpmn:StartEvent,5,io.camunda.connectors.inbound.RabbitMQ.StartEvent.v1,RabbitMQ Start Event Connector,0.2172817587852478
13,Approval wait,bpmn:IntermediateCatchEvent,1,io.camunda.connectors.AWSSQS.intermediate.v1,Amazon SQS Intermediate Message Catch Event connector,0.23910720646381378
13,Approval wait,bpmn:IntermediateCatchEvent,2,io.camunda.connectors.http.Polling,HTTP Polling Intermediate Catch Event Connector,0.1903824508190155
13,Approval wait,bpmn:IntermediateCatchEvent,3,io.camunda.connectors.webhook.WebhookConnectorIntermediate.v1,Webhook Intermediate Event Connector,0.1644454300403595
13,Approval wait,bpmn:IntermediateCatchEvent,4,io.camunda.connectors.AWSEventBridge.intermediate.v1,Amazon EventBridge Intermediate Catch Event Connector,0.14482074975967407
13,Approval wait,bpmn:IntermediateCatchEvent,5,io.camunda.connectors.webhook.GithubWebhookConnectorIntermediate.v1,GitHub Webhook Intermediate Catch Event Connector,0.14351892471313477
14,Notification sender,bpmn:IntermediateThrowEvent,1,io.camunda.connectors.AWSSQS.intermediate.v1,Amazon SQS Intermediate Message Catch Event connector,0.34695523977279663
14,Notification sender,bpmn:IntermediateThrowEvent,2,io.camunda.connectors.Twilio.Webhook.Intermediate.v1,Twilio Intermediate Catch Event Connector,0.3238483667373657
14,Notification sender,bpmn:IntermediateThrowEvent,3,io.camunda.connectors.inbound.RabbitMQ.Intermediate.v1,RabbitMQ Intermediate Catch Event Connector,0.23555618524551392
14,Notification sender,bpmn:IntermediateThrowEvent,4,io.camunda.connectors.inbound.KafkaIntermediate.v1,Kafka Intermediate Catch Event Connector,0.19837500154972076
14,Notification sender,bpmn:IntermediateThrowEvent,5,io.camunda.connectors.inbound.Slack.IntermediateCatchEvent.v1,Slack Webhook Intermediate Catch Event Connector,0.17327365279197693
15,Send email to customer,bpmn:Task,1,io.camunda.connectors.SendGrid.v2,SendGrid Outbound Connector,0.4783070385456085
15,Send email to customer,bpmn:Task,2,io.camunda.connectors.Slack.v1,Slack Outbound Connector,0.35388192534446716
15,Send email to customer,bpmn:Task,3,io.camunda.connectors.Twilio.v1,Twilio Outbound Connector,0.2984987795352936
15,Send email to customer,bpmn:Task,4,io.camunda.connectors.RabbitMQ.v1,RabbitMQ Outbound Connector,0.2950463891029358
