Test Case ID,Input Name,Input Type,Suggestion Rank,Suggestion ID,Suggestion Name,Similarity Score
1,Send email,bpmn:Task,1,io.camunda.connectors.SendGrid.v2,SendGrid Outbound Connector,0.617240846157074
1,Send email,bpmn:Task,2,io.camunda.connectors.MSTeams.v1,Microsoft Teams Outbound Connector,0.49730828404426575
1,Send email,bpmn:Task,3,io.camunda.connectors.MSFT.O365.Mail.v1,Microsoft Office 365 Mail Connector,0.4485277831554413
1,Send email,bpmn:Task,4,io.camunda.connectors.AWSSQS.v1,Amazon SQS Outbound Connector,0.4445931017398834
1,Send email,bpmn:Task,5,io.camunda.connectors.WhatsApp.v1,WhatsApp Business Outbound Connector,0.434861958026886
2,Send message,bpmn:Task,1,io.camunda.connectors.SendGrid.v2,SendGrid Outbound Connector,0.5727589130401611
2,Send message,bpmn:Task,2,io.camunda.connectors.RabbitMQ.v1,RabbitMQ Outbound Connector,0.5520817637443542
2,Send message,bpmn:Task,3,io.camunda.connectors.MSTeams.v1,Microsoft Teams Outbound Connector,0.5431579351425171
2,Send message,bpmn:Task,4,io.camunda.connectors.Slack.v1,Slack Outbound Connector,0.5349791049957275
2,Send message,bpmn:Task,5,io.camunda.connectors.AWSSNS.v1,Amazon SNS Outbound connector,0.5228978991508484
3,Setup project,bpmn:Task,1,io.camunda.connectors.Asana.v1,Asana Outbound Connector,0.476737380027771
3,Setup project,bpmn:Task,2,io.camunda.connectors.GitLab.v1,GitLab Outbound Connector,0.38987892866134644
3,Setup project,bpmn:Task,3,io.camunda.connectors.MSTeams.v1,Microsoft Teams Outbound Connector,0.3808334171772003
3,Setup project,bpmn:Task,4,io.camunda.connectors.GitHub.v1,GitHub Outbound Connector,0.375124454498291
3,Setup project,bpmn:Task,5,io.camunda.connectors.GoogleDrive.v1,Google Drive Outbound Connector,0.33285677433013916
4,Call REST API,bpmn:Task,1,io.camunda.connectors.HttpJson.v2,REST Outbound Connector,0.7207006812095642
4,Call REST API,bpmn:Task,2,io.camunda.connectors.Salesforce.v1,Salesforce Outbound Connector,0.5641088485717773
