Test Case ID,Input Name,Input Type,Suggestion Rank,Suggestion ID,Suggestion Name,Similarity Score
1,Send email,bpmn:Task,1,io.camunda.connectors.SendGrid.v2,SendGrid Outbound Connector,21.09017562866211
1,Send email,bpmn:Task,2,io.camunda.connectors.MSTeams.v1,Microsoft Teams Outbound Connector,17.073638916015625
1,Send email,bpmn:Task,3,io.camunda.connectors.AWSSQS.v1,Amazon SQS Outbound Connector,16.10936737060547
1,Send email,bpmn:Task,4,io.camunda.connectors.AWSSNS.v1,Amazon SNS Outbound connector,15.60636043548584
1,Send email,bpmn:Task,5,io.camunda.connectors.MSFT.O365.Mail.v1,Microsoft Office 365 Mail Connector,15.037347793579102
2,Send message,bpmn:Task,1,io.camunda.connectors.SendGrid.v2,SendGrid Outbound Connector,20.712688446044922
2,Send message,bpmn:Task,2,io.camunda.connectors.RabbitMQ.v1,RabbitMQ Outbound Connector,20.530080795288086
2,Send message,bpmn:Task,3,io.camunda.connectors.AWSSNS.v1,Amazon SNS Outbound connector,19.943832397460938
2,Send message,bpmn:Task,4,io.camunda.connectors.MSTeams.v1,Microsoft Teams Outbound Connector,19.73629379272461
2,Send message,bpmn:Task,5,io.camunda.connectors.Slack.v1,Slack Outbound Connector,19.630599975585938
3,Setup project,bpmn:Task,1,io.camunda.connectors.Asana.v1,Asana Outbound Connector,19.757326126098633
3,Setup project,bpmn:Task,2,io.camunda.connectors.GitLab.v1,GitLab Outbound Connector,16.183670043945312
3,Setup project,bpmn:Task,3,io.camunda.connectors.GitHub.v1,GitHub Outbound Connector,14.808746337890625
3,Setup project,bpmn:Task,4,io.camunda.connectors.MSTeams.v1,Microsoft Teams Outbound Connector,14.66365909576416
3,Setup project,bpmn:Task,5,io.camunda.connectors.GoogleDrive.v1,Google Drive Outbound Connector,13.376984596252441
4,Call REST API,bpmn:Task,1,io.camunda.connectors.HttpJson.v2,REST Outbound Connector,25.726652145385742
4,Call REST API,bpmn:Task,2,io.camunda.connectors.Salesforce.v1,Salesforce Outbound Connector,20.634782791137695
4,Call REST API,bpmn:Task,3,io.camunda.connectors.CamundaOperate.v1,Camunda Operate Outbound connector,18.047128677368164
4,Call REST API,bpmn:Task,4,io.camunda.connectors.Twilio.v1,Twilio Outbound Connector,15.434647560119629
4,Call REST API,bpmn:Task,5,io.camunda.connectors.AWSLAMBDA.v2,AWS Lambda Outbound Connector,15.239197731018066
